year,threshold_market_cap,nyse_firm_count
1973,53233.55,1403
1974,43584.424999999996,1414
1975,53461.99999999997,1416
1976,63996.5375,1415
1977,75611.41875,1442
1978,87816.4875,1439
1979,102088.38749999997,1432
1980,106402.04999999999,1427
1981,143813.59999999998,1417
1982,115216.79999999997,1405
1983,212064.26249999998,1387
1984,174211.69999999992,1397
1985,187918.62499999997,1371
1986,221460.39375,1340
1987,232118.76249999998,1344
1988,207034.25,1327
1989,240880.72499999995,1304
1990,232710.7125,1308
1991,222025.27499999997,1354
1992,258079.31874999998,1442
1993,320098.49374999997,1528
1994,313936.7875,1622
1995,342995.5249999999,1664
1996,417198.37499999994,1747
1997,469923.2124999999,1847
1998,513968.0,1878
1999,474547.9374999999,1828
2000,440856.35,1680
2001,567697.995,1563
2002,641474.6155,1506
2003,627328.0,1481
2004,872045.092,1469
2005,1056625.4849999999,1475
2006,1166708.91,1443
2007,1394796.3199999991,1421
2008,968171.8209999998,1390
2009,683058.4849999996,1326
2010,873419.8799999997,1330
2011,1197024.851,1319
2012,1019380.3954999998,1320
2013,1240967.064,1317
2014,1510666.666,1352
2015,1398900.623,1358
2016,1254768.9849999999,1307
2017,1474661.9489999998,1287
2018,1720965.8154999998,1266
2019,1462307.525,1263
2020,1199429.3369999998,1227
2021,1874457.764999999,1340
2022,1172776.979,1415
2023,1488592.9719999998,1334
2024,1724140.7070000002,1278
