year,avg_firms,min_firms,max_firms,threshold_market_cap,flag
1973,1322.1666666666667,1317,1326,53233.55,
1975,1247.0,1241,1252,53461.99999999997,
1976,1217.1666666666667,1197,1239,63996.5375,
1977,1190.5833333333333,1184,1202,75611.41875,
1978,1183.25,1168,1197,87816.4875,
1979,1160.0833333333333,1147,1182,102088.38749999997,
1980,1146.8333333333333,1120,1172,106402.04999999999,
1981,1148.9166666666667,1126,1168,143813.59999999998,
1982,1131.1666666666667,1116,1146,115216.79999999997,
1983,1111.4166666666667,1097,1130,212064.26249999998,
1984,1116.1666666666667,1098,1145,174211.69999999992,
1985,1138.25,1087,1193,187918.62499999997,
1986,1194.4166666666667,1127,1261,221460.39375,
1987,1196.3333333333333,1175,1216,232118.76249999998,
1988,1171.0833333333333,1140,1204,207034.25,
1989,1147.75,1135,1161,240880.72499999995,
1990,1141.9166666666667,1108,1178,232710.7125,
1991,1166.6666666666667,1150,1186,222025.27499999997,
1992,1185.3333333333333,1163,1208,258079.31874999998,
1993,1208.6666666666667,1184,1232,320098.49374999997,
1994,1275.4166666666667,1214,1346,313936.7875,
1995,1368.4166666666667,1292,1446,342995.5249999999,
1996,1437.3333333333333,1378,1500,417198.37499999994,
1997,1453.8333333333333,1425,1499,469923.2124999999,
1998,1429.4166666666667,1394,1473,513968.0,
1999,1425.9166666666667,1366,1500,474547.9374999999,
2000,1425.9166666666667,1365,1497,440856.35,
2001,1431.5,1381,1483,567697.995,
2002,1373.3333333333333,1323,1432,641474.6155,
2003,1327.4166666666667,1308,1348,627328.0,
2004,1317.8333333333333,1306,1328,872045.092,
2005,1268.1666666666667,1233,1300,1056625.4849999999,
2006,1219.5833333333333,1190,1241,1166708.91,
2007,1180.5833333333333,1134,1212,1394796.3199999991,
2008,1153.5,1112,1201,968171.8209999998,
2009,1191.4166666666667,1158,1228,683058.4849999996,
2010,1205.4166666666667,1192,1225,873419.8799999997,
2011,1183.5,1171,1196,1197024.851,
2012,1188.0,1144,1233,1019380.3954999998,
2013,1202.1666666666667,1188,1217,1240967.064,
2014,1204.6666666666667,1181,1233,1510666.666,
2015,1224.6666666666667,1185,1269,1398900.623,
2016,1238.75,1205,1274,1254768.9849999999,
2017,1234.5,1208,1260,1474661.9489999998,
2018,1235.3333333333333,1217,1260,1720965.8154999998,
2019,1251.9166666666667,1212,1297,1462307.525,
2020,1286.75,1256,1321,1199429.3369999998,
2021,1333.4166666666667,1282,1386,1874457.764999999,
2022,1394.9166666666667,1345,1452,1172776.979,
2023,1404.8333333333333,1389,1417,1488592.9719999998,
2024,1376.25,1360,1388,1724140.7070000002,
