Year,Level 0,Level 1,Level 1.5,Level 2,Level 3a,Level 3b
2005,0.1382,0.2026,0.1944,0.1154,0.2576,0.2744
2006,0.1427,0.1277,0.0449,0.1220,0.0399,0.0460
2007,-0.0580,-0.3081,-0.2031,0.0542,-0.0742,-0.0877
2008,-0.3808,-0.5298,-0.3448,-0.4942,-0.5078,-0.4870
2009,0.4781,0.2918,0.7002,1.0109,0.6611,0.5919
2010,0.2660,0.3221,0.1804,0.2032,0.2221,0.2187
2011,0.0251,-0.0926,-0.0746,0.0200,-0.0207,-0.0003
2012,0.1616,0.1453,0.1577,0.1022,0.1304,0.1389
2013,0.2492,0.3157,0.2917,0.3884,0.3691,0.3341
2014,0.1479,0.0325,0.0766,0.1664,0.1742,0.1712
2015,-0.0563,-0.1906,-0.1256,-0.1679,-0.1631,-0.1358
2016,0.2663,0.4307,0.6064,0.6426,0.1942,0.1734
2017,0.2549,0.3172,0.2785,0.3399,0.2043,0.2321
2018,-0.0270,-0.1044,0.0604,-0.0738,-0.1355,-0.1157
2019,0.1774,0.2819,0.2888,0.1271,0.0580,0.0470
2020,0.1478,0.2479,-0.0295,0.0031,0.3183,0.3416
2021,0.2341,0.1748,0.0118,0.2394,0.2209,0.2154
2022,0.0159,-0.1174,-0.0167,-0.1501,-0.1290,-0.0852
2023,0.0952,0.1477,0.3677,0.0783,0.1144,0.1377
2024,0.1324,0.0216,0.1839,0.2861,0.1753,0.1424
