Metric,Level 0,Level 1,Level 1.5,Level 2,Level 3,Level 4
Net Sharpe (ann.),0.6449,0.3523,0.6006,0.5976,0.5483,0.458
Gross Sharpe (ann.),0.6455,0.3615,0.6251,0.6229,0.5696,0.4681
Sortino (ann.),0.9989,0.5067,0.9648,1.026,0.7787,0.7119
Net Return (ann.),10.61,5.35,10.63,11.17,8.94,8.46
Volatility (ann.),18.31,21.51,20.27,21.53,19.07,24.11
Downside Dev. (ann.),0.1182,0.1496,0.1262,0.1254,0.1343,0.1551
Max Drawdown,-52.58,-73.33,-55.5,-56.84,-61.68,-68.65
Avg Turnover/Month,0.97,16.51,41.08,45.32,33.45,20.0
Avg Cost/Month,0.0967,1.6526,4.1043,4.5342,3.3726,2.0335
CAPM Alpha (ann. %),-0.8991,-6.0591,0.307,1.2282,-1.3786,-4.4676
Alpha t-stat,-0.7312,-2.6104,0.1102,0.3683,-0.596,-1.9463
Market Beta,1.1316,1.2261,1.0467,1.0233,1.0436,1.4156
CAPM R²,0.9138,0.7774,0.6388,0.541,0.7182,0.8264
